PerfID,EmpID,Rating,PerfDate
1,1,1,31-Dec-15
2,2,2,31-Dec-15
3,3,2,31-Dec-15
4,4,4,31-Dec-15
5,5,2,31-Dec-15
6,6,5,31-Dec-15
7,7,3,31-Dec-15
8,8,4,31-Dec-15
9,10,4,31-Dec-15
10,11,3,31-Dec-15
11,12,4,31-Dec-15
12,13,3,31-Dec-15
13,14,4,31-Dec-15
14,16,3,31-Dec-15
15,17,3,31-Dec-15
16,18,4,31-Dec-15
17,19,1,31-Dec-15
18,20,3,31-Dec-15
19,21,1,31-Dec-15
20,23,4,31-Dec-15
21,24,3,31-Dec-15
22,25,2,31-Dec-15
23,26,3,31-Dec-15
24,27,3,31-Dec-15
25,28,3,31-Dec-15
26,29,2,31-Dec-15
27,30,4,31-Dec-15
28,31,4,31-Dec-15
29,32,4,31-Dec-15
30,33,2,31-Dec-15
31,34,1,31-Dec-15
32,35,3,31-Dec-15
33,36,2,31-Dec-15
34,39,3,31-Dec-15
35,42,1,31-Dec-15
36,43,1,31-Dec-15
37,44,5,31-Dec-15
38,45,1,31-Dec-15
39,46,4,31-Dec-15
40,47,4,31-Dec-15
41,49,4,31-Dec-15
42,51,4,31-Dec-15
43,52,1,31-Dec-15
44,53,3,31-Dec-15
45,54,3,31-Dec-15
46,55,5,31-Dec-15
47,56,1,31-Dec-15
48,57,3,31-Dec-15
49,58,4,31-Dec-15
50,59,3,31-Dec-15
51,60,4,31-Dec-15
52,61,3,31-Dec-15
53,62,2,31-Dec-15
54,63,5,31-Dec-15
55,64,4,31-Dec-15
56,65,3,31-Dec-15
57,67,1,31-Dec-15
58,69,3,31-Dec-15
59,71,3,31-Dec-15
60,72,3,31-Dec-15
61,73,3,31-Dec-15
62,74,4,31-Dec-15
63,75,2,31-Dec-15
64,76,3,31-Dec-15
65,77,3,31-Dec-15
66,78,3,31-Dec-15
67,79,1,31-Dec-15
68,80,5,31-Dec-15
69,81,3,31-Dec-15
70,82,2,31-Dec-15
71,83,3,31-Dec-15
72,84,4,31-Dec-15
73,85,3,31-Dec-15
74,87,2,31-Dec-15
75,88,1,31-Dec-15
76,89,3,31-Dec-15
77,90,4,31-Dec-15
78,91,3,31-Dec-15
79,92,3,31-Dec-15
80,93,3,31-Dec-15
81,94,3,31-Dec-15
82,95,2,31-Dec-15
83,96,2,31-Dec-15
84,97,3,31-Dec-15
85,98,3,31-Dec-15
86,99,3,31-Dec-15
87,100,5,31-Dec-15
88,102,3,31-Dec-15
89,103,4,31-Dec-15
90,104,3,31-Dec-15
91,105,4,31-Dec-15
92,106,3,31-Dec-15
93,107,5,31-Dec-15
94,108,3,31-Dec-15
95,109,1,31-Dec-15
96,110,1,31-Dec-15
97,111,3,31-Dec-15
98,112,4,31-Dec-15
99,113,5,31-Dec-15
100,114,3,31-Dec-15
101,115,3,31-Dec-15
102,117,2,31-Dec-15
103,118,3,31-Dec-15
104,119,3,31-Dec-15
105,120,5,31-Dec-15
106,121,1,31-Dec-15
107,122,2,31-Dec-15
108,123,4,31-Dec-15
109,124,4,31-Dec-15
110,125,3,31-Dec-15
111,126,4,31-Dec-15
112,128,4,31-Dec-15
113,129,1,31-Dec-15
114,130,4,31-Dec-15
115,131,2,31-Dec-15
116,132,3,31-Dec-15
117,133,3,31-Dec-15
118,134,1,31-Dec-15
119,135,3,31-Dec-15
120,136,4,31-Dec-15
121,137,2,31-Dec-15
122,138,5,31-Dec-15
123,139,3,31-Dec-15
124,140,3,31-Dec-15
125,141,2,31-Dec-15
126,142,2,31-Dec-15
127,143,4,31-Dec-15
128,144,4,31-Dec-15
129,145,4,31-Dec-15
130,146,4,31-Dec-15
131,147,4,31-Dec-15
132,148,1,31-Dec-15
133,149,3,31-Dec-15
134,150,3,31-Dec-15
135,151,4,31-Dec-15
136,152,4,31-Dec-15
137,153,2,31-Dec-15
138,155,3,31-Dec-15
139,156,4,31-Dec-15
140,157,2,31-Dec-15
141,158,5,31-Dec-15
142,160,4,31-Dec-15
143,161,3,31-Dec-15
144,162,3,31-Dec-15
145,163,3,31-Dec-15
146,164,3,31-Dec-15
147,165,3,31-Dec-15
148,166,3,31-Dec-15
149,167,3,31-Dec-15
150,168,3,31-Dec-15
151,170,4,31-Dec-15
152,172,4,31-Dec-15
153,173,2,31-Dec-15
154,174,1,31-Dec-15
155,175,1,31-Dec-15
156,176,5,31-Dec-15
157,177,4,31-Dec-15
158,178,2,31-Dec-15
159,179,2,31-Dec-15
160,180,4,31-Dec-15
161,181,2,31-Dec-15
162,182,5,31-Dec-15
163,184,4,31-Dec-15
164,185,2,31-Dec-15
165,186,1,31-Dec-15
166,187,1,31-Dec-15
167,188,1,31-Dec-15
168,189,2,31-Dec-15
169,190,2,31-Dec-15
170,191,3,31-Dec-15
171,192,3,31-Dec-15
172,193,3,31-Dec-15
173,194,4,31-Dec-15
174,197,4,31-Dec-15
175,199,4,31-Dec-15
176,200,2,31-Dec-15
177,202,3,31-Dec-15
178,204,3,31-Dec-15
179,205,5,31-Dec-15
180,206,2,31-Dec-15
181,207,3,31-Dec-15
182,208,4,31-Dec-15
183,209,3,31-Dec-15
184,210,3,31-Dec-15
185,211,3,31-Dec-15
186,212,5,31-Dec-15
187,214,3,31-Dec-15
188,218,4,31-Dec-15
189,219,2,31-Dec-15
190,220,4,31-Dec-15
191,221,4,31-Dec-15
192,222,3,31-Dec-15
193,223,3,31-Dec-15
194,224,4,31-Dec-15
195,225,3,31-Dec-15
196,226,3,31-Dec-15
197,227,3,31-Dec-15
198,228,3,31-Dec-15
199,229,4,31-Dec-15
200,230,2,31-Dec-15
201,232,5,31-Dec-15
202,233,1,31-Dec-15
203,234,3,31-Dec-15
204,235,3,31-Dec-15
205,240,3,31-Dec-15
206,241,3,31-Dec-15
207,242,4,31-Dec-15
208,243,3,31-Dec-15
209,244,5,31-Dec-15
210,245,4,31-Dec-15
211,246,5,31-Dec-15
212,247,3,31-Dec-15
213,248,4,31-Dec-15
214,249,5,31-Dec-15
215,250,4,31-Dec-15
216,251,3,31-Dec-15
217,252,1,31-Dec-15
218,253,3,31-Dec-15
219,255,3,31-Dec-15
220,256,2,31-Dec-15
221,257,3,31-Dec-15
222,258,2,31-Dec-15
223,259,4,31-Dec-15
224,260,3,31-Dec-15
225,261,3,31-Dec-15
226,262,1,31-Dec-15
227,264,4,31-Dec-15
228,265,3,31-Dec-15
229,266,2,31-Dec-15
230,267,2,31-Dec-15
231,268,4,31-Dec-15
232,269,3,31-Dec-15
233,270,3,31-Dec-15
234,271,2,31-Dec-15
235,272,5,31-Dec-15
236,273,4,31-Dec-15
237,274,3,31-Dec-15
238,275,2,31-Dec-15
239,276,4,31-Dec-15
240,278,3,31-Dec-15
241,281,2,31-Dec-15
242,283,3,31-Dec-15
243,285,5,31-Dec-15
244,287,4,31-Dec-15
245,288,5,31-Dec-15
246,289,4,31-Dec-15
247,290,2,31-Dec-15
248,291,3,31-Dec-15
249,292,4,31-Dec-15
250,293,4,31-Dec-15
251,294,2,31-Dec-15
252,295,4,31-Dec-15
253,296,3,31-Dec-15
254,297,2,31-Dec-15
255,298,3,31-Dec-15
256,299,5,31-Dec-15
257,301,1,31-Dec-15
258,302,2,31-Dec-15
259,303,3,31-Dec-15
260,304,4,31-Dec-15
261,305,2,31-Dec-15
262,306,3,31-Dec-15
263,307,3,31-Dec-15
264,308,3,31-Dec-15
265,309,4,31-Dec-15
266,310,4,31-Dec-15
267,311,3,31-Dec-15
268,312,2,31-Dec-15
269,313,1,31-Dec-15
270,314,3,31-Dec-15
271,315,5,31-Dec-15
272,316,3,31-Dec-15
273,319,3,31-Dec-15
274,320,2,31-Dec-15
275,321,3,31-Dec-15
276,322,4,31-Dec-15
277,323,2,31-Dec-15
278,324,5,31-Dec-15
279,325,4,31-Dec-15
280,326,3,31-Dec-15
281,327,4,31-Dec-15
282,328,3,31-Dec-15
283,329,2,31-Dec-15
284,332,3,31-Dec-15
285,333,3,31-Dec-15
286,334,3,31-Dec-15
287,335,4,31-Dec-15
288,336,3,31-Dec-15
289,337,1,31-Dec-15
290,338,5,31-Dec-15
291,340,3,31-Dec-15
292,341,3,31-Dec-15
293,343,3,31-Dec-15
294,344,4,31-Dec-15
295,345,1,31-Dec-15
296,346,4,31-Dec-15
297,348,1,31-Dec-15
298,349,1,31-Dec-15
299,350,3,31-Dec-15
300,352,3,31-Dec-15
301,353,2,31-Dec-15
302,354,2,31-Dec-15
303,355,3,31-Dec-15
304,356,3,31-Dec-15
305,358,2,31-Dec-15
306,359,3,31-Dec-15
307,361,3,31-Dec-15
308,362,4,31-Dec-15
309,364,3,31-Dec-15
310,366,2,31-Dec-15
311,367,3,31-Dec-15
312,371,1,31-Dec-15
313,372,5,31-Dec-15
314,374,3,31-Dec-15
315,375,1,31-Dec-15
316,376,2,31-Dec-15
317,377,3,31-Dec-15
318,378,3,31-Dec-15
319,379,5,31-Dec-15
320,381,3,31-Dec-15
321,382,2,31-Dec-15
322,383,4,31-Dec-15
323,384,2,31-Dec-15
324,385,1,31-Dec-15
325,387,4,31-Dec-15
326,388,4,31-Dec-15
327,389,1,31-Dec-15
328,390,4,31-Dec-15
329,393,5,31-Dec-15
330,395,3,31-Dec-15
331,396,3,31-Dec-15
332,397,1,31-Dec-15
333,399,3,31-Dec-15
334,400,3,31-Dec-15
335,402,4,31-Dec-15
336,403,2,31-Dec-15
337,404,2,31-Dec-15
338,406,5,31-Dec-15
339,407,3,31-Dec-15
340,408,2,31-Dec-15
341,409,5,31-Dec-15
342,411,1,31-Dec-15
343,414,3,31-Dec-15
344,415,3,31-Dec-15
345,416,2,31-Dec-15
346,417,3,31-Dec-15
347,418,2,31-Dec-15
348,419,4,31-Dec-15
349,420,1,31-Dec-15
350,421,2,31-Dec-15
351,422,2,31-Dec-15
352,423,1,31-Dec-15
353,425,1,31-Dec-15
354,426,3,31-Dec-15
355,427,1,31-Dec-15
356,428,2,31-Dec-15
357,432,2,31-Dec-15
358,433,3,31-Dec-15
359,434,5,31-Dec-15
360,435,3,31-Dec-15
361,436,3,31-Dec-15
362,437,3,31-Dec-15
363,438,3,31-Dec-15
364,439,4,31-Dec-15
365,440,3,31-Dec-15
366,441,3,31-Dec-15
367,442,2,31-Dec-15
368,443,3,31-Dec-15
369,445,3,31-Dec-15
370,446,4,31-Dec-15
371,447,2,31-Dec-15
372,448,3,31-Dec-15
373,449,5,31-Dec-15
374,451,1,31-Dec-15
375,452,3,31-Dec-15
376,454,2,31-Dec-15
377,455,3,31-Dec-15
378,456,4,31-Dec-15
379,457,3,31-Dec-15
380,458,3,31-Dec-15
381,459,3,31-Dec-15
382,460,3,31-Dec-15
383,463,5,31-Dec-15
384,464,3,31-Dec-15
385,466,2,31-Dec-15
386,467,3,31-Dec-15
387,468,3,31-Dec-15
388,469,4,31-Dec-15
389,470,1,31-Dec-15
390,471,3,31-Dec-15
391,472,1,31-Dec-15
392,473,2,31-Dec-15
393,474,1,31-Dec-15
394,475,3,31-Dec-15
395,476,4,31-Dec-15
396,477,4,31-Dec-15
397,479,4,31-Dec-15
398,480,2,31-Dec-15
399,481,5,31-Dec-15
400,482,2,31-Dec-15
401,483,4,31-Dec-15
402,484,2,31-Dec-15
403,485,3,31-Dec-15
404,486,3,31-Dec-15
405,489,3,31-Dec-15
406,490,3,31-Dec-15
407,491,2,31-Dec-15
408,492,2,31-Dec-15
409,493,3,31-Dec-15
410,494,2,31-Dec-15
411,495,4,31-Dec-15
412,496,4,31-Dec-15
413,498,3,31-Dec-15
414,499,4,31-Dec-15
415,500,2,31-Dec-15
416,501,3,31-Dec-15
417,502,4,31-Dec-15
418,503,3,31-Dec-15
419,504,2,31-Dec-15
420,505,4,31-Dec-15
421,507,2,31-Dec-15
422,508,4,31-Dec-15
423,509,4,31-Dec-15
424,510,3,31-Dec-15
425,511,4,31-Dec-15
426,512,5,31-Dec-15
427,515,3,31-Dec-15
428,516,3,31-Dec-15
429,518,4,31-Dec-15
430,519,4,31-Dec-15
431,521,3,31-Dec-15
432,522,5,31-Dec-15
